book,chapter,verse,verse_text
RUT,1,1,"Elimelech (title) and Naomi move from Bethlehem to Moab.  [When judges were ruling Israel] many people [who were living in Israel] did not have enough food. A certain man was from Bethlehem [which was in Judah]. That man, that man's wife, and that man's two sons moved from Bethlehem to a country named Moab [in order to live in Moab for a few years]. "
RUT,1,2,"That man's name was Elimelech.  And that man's wife's name was Naomi.  One son's name was Mahlon. And the other son's name was Kilion. Elimelech and Naomi were in Ephrah's family/clan.  That family was living in a town named Bethlehem [which was in Judah]. But that family went to a country named Moab. And that family lived in Moab."
RUT,1,3,"Elimelech [who was Naomi's husband] died later. So Naomi lived with only Naomi's two sons."
RUT,1,4,"Naomi's sons grew up. And Naomi's sons became men. Then these sons married women [that were from Moab]. One son married a woman named Orpah. The other son married a woman named Ruth. [after Naomi's sons married women], Naomi lived in Moab for ten years with Naomi's sons."
RUT,1,5,"Then Mahlon and Kilion also died. So Naomi was alone. Naomi did not have Naomi's husband or Naomi's sons."
RUT,1,6,"[while Naomi was living in Moab] a person told Naomi [that God was caring for God's people in Bethlehem]. God had given food to those people. So Naomi prepared [to return to Bethlehem]. Naomi's daughters-in-law also prepared [to return to Bethlehem with Naomi]."
RUT,1,7,"Then Naomi and Naomi's daughters-in-law left the place [that Naomi and Naomi's daughters-in-law were living in]. And Naomi and Naomi's daughters-in-law started walking on the road [that led to Judah]. "
RUT,1,8,"But Naomi said to Naomi's daughters in law, [""My(Naomi's) daughters, you(daughters in law) must return to Moab]. You(daughters in law) (imp) return to the houses of your(daughters in law's) mothers. I(Naomi) hope [that Yahweh will care for you(daughters in law) [like you(daughters in law) cared for me(Naomi) and my(Naomi's) sons]]."
RUT,1,9,"I(Naomi) hope [that Yahweh will give peace to you(daughters in law) [by giving new husbands to you(daughters in law)]]."" Then Naomi kissed Naomi's daughters in law. Then the daughters in law cried loudly."
RUT,1,10,"Naomi's daughters in law said to Naomi, [""We(daughters in law) want [to go to your(Naomi's) people with you(Naomi)]]."""
RUT,1,11,"But Naomi said, [""No]. My(Naomi's) daughters, you(daughters) (imp) return to your(daughters in law's) houses. You(daughters) (imp) do not come with me(Naomi). I(Naomi) will not be able [to care for you(daughters in law)]. I(Naomi) will not be able [to give new husbands to you(daughters in law)] [because I(Naomi) will not be able [to give birth to more sons]]."
RUT,1,12,"So you(daughters in law) should return to the houses of your(daughters in law's) parents. I(Naomi) am not able [to marry another man] [because I(Naomi) am too old]. [even if I(Naomi) marry a man tonight] [and if I(Naomi) were to give birth to sons] you(daughters in law) would not be able [to wait [for those sons to grow up]]. No person will care for you(daughters in law) [while those sons grow up]."
RUT,1,13,"I(Naomi) am very sad  [because Yahweh caused [me(Naomi) to be sad]].""  [if you(daughters in law) come with me(Naomi)] you(daughters in law) also will be very sad."
RUT,1,14,"Naomi's daughters in law cried again. Then Orpah kissed Naomi. And Orpah goodbye Naomi. Then Orpah returned to Moab. But Ruth refused [to leave Naomi]."
RUT,1,15,"Naomi said to Ruth, [""Orpah will return to Orpah's people and to Orpah's gods]. You(Ruth) should also return to your(Ruth's) people."""
RUT,1,16,"But Ruth said to Naomi, [""You(Naomi) (imp) do not tell [me(Ruth) to leave you(Naomi)]]. You(Naomi) (imp) allow [me(Ruth) to follow you(Naomi)]. [if you(Naomi) travel to a place] I(Ruth) will also travel to that place. [if you(Naomi) live in a place] I(Ruth) will also live in that place. I(Ruth) will live with your(Naomi's) people. And I(Ruth) will worship your(Naomi's) God."
RUT,1,17,"I(Ruth) will die at the place [that you(Naomi) will die]. I(Ruth) will be buried at that place by people. I(Ruth) swear to Yahweh [that I(Ruth) will stay with you(Naomi)] [until I(Ruth) die]. [if I(Ruth) do not keep this promise] I(Ruth) will ask [Yahweh to punish me(Ruth)]."""
