id	stem	gloss	part_of_speech	strongs_list
1	abandon	(complex) to leave and forsake a person	Verb	G2641,H3363
2	accept	(LDV) to accept something from someone 	Verb	G1551,G3858
3	accept	(LDV) to accept a person or animal, not reject him	Verb	G1551,G3858
4	accept	(LDV) to accept that some event happened (John accepted that Mary read that book.)	Verb	G1551,G3858
5	accomplish	(complex) to succeed in doing something, especially after trying very hard	Verb	G1603,G1274,G1300
6	accuse	(complex) to accuse someone of something; paired with 'to say-C'	Verb	G4256
7	accuse	(complex) to accuse someone (paired with 'to oppose') (Certain people accused Paul.)	Verb	G4256
8	acknowledge	(complex) to accept that someone or something has authority	Verb	G1843
9	act	(LDV) to do a generic action	Verb	G0407,G4203,G2230,G3515,G0831
10	add	(LDV) to put something with something else	Verb	H3254
11	admire	(LDV) to admire something (John admired the painting.)	Verb	G2296,H1240,H1239
12	admire	(LDV) to admire someone for doing something (John admired Mary for being brave.)	Verb	G2296,H1240,H1239
13	admit	(LDV) to confess to something, agree unwillingly that something is true	Verb	H6901,G1926,G4327,G5264
14	advise	(LDV) to give someone advice	Verb	H3289,G1011
15	advise	(LDV) to advise someone to do something (Mary advised John to read that book.)	Verb	H3289,G1011
16	affect	(LDV) to do something that causes a change in something or someone	Verb	G5177
17	agree	(LDV) to agree with a person or things that have been said or written (John agreed with Mary. John agreed with the plan.)	Verb	H2164
18	agree	(LDV) to agree to do something (John agreed to read that book.)	Verb	H2164
19	agree	(LDV) to agree that someone else should do something (John agreed that Mary read that book.)	Verb	H2164
20	allow	(LDV) to allow someone to do something, give permission	Verb	H3240,G2010,H3363,H7662
21	allow	(LDV) to permit an event to happen, don't prevent it (Pharoah allowed the baby girls to live.)	Verb	H3240,G2010,H3363,H7662
22	amaze	(complex)  to amaze somebody	Verb	H8429
23	ambush	(complex) to hide and wait for someone, and then attack them, paired with 'to attack'	Verb	G1749
24	announce	"(complex)  to announce with a direct quote (The king announced, ""..."")"	Verb	G0312,G0518,G1861,G2097,G4283
25	announce	(complex) to announce with an indirect quote (e.g., The king announced that ...)	Verb	G0312,G0518,G1861,G2097,G4283
